Protein.Group,Protein.Ids,Protein.Names,Genes,Peptides,First.Protein.Description,EctoNanogAbk1,EctoNanogAbk2,EctoNanogAbk3,EctoNanogBock1,EctoNanogBock2,EctoNanogBock3,ESCNanogAbk1,ESCNanogAbk2,ESCNanogAbk3,ESCNanogBock1,ESCNanogBock2,ESCNanogBock3
A0A075B6K4,A0A075B6K4;P01717,LV310_HUMAN,IGLV3-10,1,Immunoglobulin lambda variable 3-10,,,,,,,,,,,,
A0A075B6S2;A0A0A0MRZ7;A2NJV5,A0A075B6R9;A0A075B6S2;A0A0A0MRZ7;A0A0C4DH68;A2NJV5,KV229_HUMAN;KVD26_HUMAN;KVD29_HUMAN,IGKV2-29;IGKV2D-26;IGKV2D-29,2,Immunoglobulin kappa variable 2D-29,976341,816301,884360,984000,913020,682251,777244,697305,693536,838144,591722,601880
A0A0A0MR33;A0A0C4DFM0;G3V267;G3V4T6;G3V5T0,A0A0A0MR33;A0A0C4DFM0;G3V267;G3V4T6;G3V5T0,A0A0A0MR33_HUMAN;A0A0C4DFM0_HUMAN;G3V267_HUMAN;G3V4T6_HUMAN;G3V5T0_HUMAN,GSTZ1,1,"Isoform of O43708, Maleylacetoacetate isomerase",82004,,,,,,,,,,,
A0A0B4J1X5;A0A0C4DH42;P01767;P01772;P0DP02,A0A075B7B8;A0A075B7E8;A0A0B4J1X5;A0A0C4DH42;A0A0J9YY99;P01764;P01767;P01768;P01772;P0DP02;P0DP03,HV333_HUMAN;HV353_HUMAN;HV366_HUMAN;HV374_HUMAN;HVC33_HUMAN,IGHV3-30-3;IGHV3-33;IGHV3-53;IGHV3-66;IGHV3-74,1,Immunoglobulin heavy variable 3-74,,,,,,,,,,,,
A0A0B4J2B5;S4R460,A0A0B4J2B5;A0A075B7F0;A0A0B4J1V1;A0A0B4J1X8;A0A0C4DH32;P01762;P01763;P01766;P01780;P01782;P0DP04;S4R460,A0A0B4J2B5_HUMAN;S4R460_HUMAN,IGHV3OR16-9,2,"Isoform of S4R460, Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment)",,,,,,,,,,,,
A0A0B4J2D5;P0DPI2,A0A096LNH5;A0A096LNJ1;A0A096LP12;A0A096LP73;A0A0B4J2D5-2;A0A0B4J2H4;A0A2R8Y6K9;A0A2R8YDR7;F2Z2Q0;H7C1F6;H7C2G3;P0DPI2-2;A0A096LPI6;A0A0B4J2D5;P0DPI2,GAL3A_HUMAN;GAL3B_HUMAN,GATD3A;GATD3B,4,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",732327,732334,939456,,,,210509,321726,314667,,,
A0A0C4DH34,A0A0C4DH34,HV428_HUMAN,IGHV4-28,1,Immunoglobulin heavy variable 4-28,,,,,,,,,,,,
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08,A0A0C4DH41;A0A0J9YWU9;P01824;P01825;P06331;P0DP06;P0DP08,HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN,IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61,2,Immunoglobulin heavy variable 4-61,,,,,,,,,,,,
A0A0C4DH55;P01624,A0A075B6H7;A0A0C4DH55;A0A0C4DH90;P01624,KV315_HUMAN;KVD07_HUMAN,IGKV3-15;IGKV3D-7,1,Immunoglobulin kappa variable 3D-7,219095,,,,,,,,,,,
A0A0D9SG54,A0A0D9SG54,A0A0D9SG54_HUMAN,UBE3A,1,"Isoform of Q05086, Ubiquitin-protein ligase E3A (Fragment)",,,,,,,,,,,,
