Protein.Group,Protein.Ids,Protein.Names,Genes,Peptides,First.Protein.Description,NanogAbk_1,NanogAbk_2,NanogAbk_3,NanogBock_1,NanogBock_2,NanogBock_3,TBPAbk_1,TBPAbk_2,TBPAbk_3,TBPBock_1,TBPBock_2,TBPBock_3
P04264,P04259;P04264,K2C1_HUMAN,KRT1,36,"Keratin, type II cytoskeletal 1",237707000,155475000,234670000,1369900000,714537000,181808000,193862000,254232000,98010000,232575000,532345000,283965000
P13645,P13645,K1C10_HUMAN,KRT10,31,"Keratin, type I cytoskeletal 10",213001000,88290600,103838000,751481000,367187000,192195000,122467000,216672000,90252300,255810000,525934000,208097000
P35908,P35908,K22E_HUMAN,KRT2,42,"Keratin, type II cytoskeletal 2 epidermal",271618000,87929600,104500000,714762000,390280000,183981000,114488000,187435000,82699300,208193000,583499000,174095000
P35527,P35527,K1C9_HUMAN,KRT9,23,"Keratin, type I cytoskeletal 9",31990300,51747600,88015000,428294000,427022000,124819000,72320100,96404600,52917600,97939100,159692000,122455000
P07910;P07910-2,B2R5W2;B4DY08;G3V2D6;G3V2Q1;G3V4C1;G3V4W0;G3V555;G3V575;G3V576;G3V5V7;P07910-2;P07910-3;P07910-4;P07910,HNRPC-2_HUMAN;HNRPC_HUMAN,HNRNPC,22,Heterogeneous nuclear ribonucleoproteins C1/C2,51298900,52862000,54324400,68259300,60257800,90777300,45643600,43353400,42728500,80959900,88548700,88308700
P0C0S8;P20671;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1,A0A0U1RR32;H0YFX9;A0A0U1RRH7;P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1,H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2C_HUMAN;H2AJ_HUMAN,H2AFJ;HIST1H2AD;HIST1H2AH;HIST1H2AJ;HIST1H2AM;HIST2H2AA4;HIST2H2AC,4,Histone H2A type 1,43409900,69560300,46117800,41831800,60596200,70355700,49327800,63499400,75663800,53333800,65121400,63360500
O00422-2,O00422-2;U3KQ12;O00422,SAP18-2_HUMAN,SAP18,13,"Isoform of O00422, Isoform 2 of Histone deacetylase complex subunit SAP18",51009900,54986400,46060400,52533500,57386700,59872900,50582300,55740400,57391700,40415000,40772000,40026200
P38159,H3BUY5;P38159-2;P38159;Q96E39,RBMX_HUMAN,RBMX,24,"RNA-binding motif protein, X chromosome",49526300,52362800,46304800,43215800,46429300,49697200,45986300,49010700,48844700,42824500,45160800,44688700
P81605,P81605-2;P81605,DCD_HUMAN,DCD,4,Dermcidin,14344700,9643330,13487700,164235000,42291000,35683100,21483900,54535400,24161800,75107200,61155200,44532400
P05787;P05787-2,P05787-2;P05787,K2C8-2_HUMAN;K2C8_HUMAN,KRT8,31,"Keratin, type II cytoskeletal 8",55453600,56416200,54573800,42774800,37727700,37024400,41928000,40544200,37300100,29958000,32763100,30725800
P05783,F8VZY9;P05783,K1C18_HUMAN,KRT18,27,"Keratin, type I cytoskeletal 18",56167800,56395000,52930900,39422900,32238300,36922300,42503900,35754500,36935100,25977200,29636600,30840700
P13647,H0YI76;H0YIN9;P13647,K2C5_HUMAN,KRT5,30,"Keratin, type II cytoskeletal 5",18474900,16215000,19863300,130092000,61310700,20943200,14699600,27659800,10215100,29095200,67076100,37057500
P62861,E9PM49;E9PR30;P62861,RS30_HUMAN,FAU,4,"Isoform of P35544, 40S ribosomal protein S30",29670700,36958800,28428200,27677400,26893900,16858100,55547600,68529300,56944000,24266100,45790100,32349300
P09651;P09651-2,F8VTQ5;F8VZ49;F8W6I7;H0YH80;P09651-2;P09651-3;A0A2R8Y4L2;P09651,ROA1-2_HUMAN;ROA1_HUMAN,HNRNPA1,17,Heterogeneous nuclear ribonucleoprotein A1,35513900,32479300,34165300,44875700,36489600,36741200,31419600,32370200,29167600,40497100,40718100,39709600
Q9Y2W1,A0A3B3ITZ9;Q9Y2W1,TR150_HUMAN,THRAP3,50,Thyroid hormone receptor-associated protein 3,34091700,35974100,33668300,42446500,40152200,39725300,35996500,40223800,38144700,28166700,25864700,23931300
P84090,G3V279;P84090,ERH_HUMAN,ERH,6,Enhancer of rudimentary homolog,62447200,40452400,48665100,33941800,29341200,14263800,42633400,37107600,23242100,13033700,35705900,23202700
P16403,P10412;P16402;P16403,H12_HUMAN,HIST1H1C,7,Histone H1.2,21419400,24505800,20784100,25580700,17973400,29558300,34393000,35150100,33138800,49231200,55427800,56517800
P02533,P02533,K1C14_HUMAN,KRT14,28,"Keratin, type I cytoskeletal 14",15493500,26776500,17416500,108659000,52923100,19047200,14072400,24404700,6562130,29653700,42873900,24637300
P16401,P16401,H15_HUMAN,HIST1H1B,10,Histone H1.5,18719500,20866300,17292200,17622500,19147100,34028500,29126600,33830500,35090000,49083100,49549300,56716300
P28072,A0A087X2I4;I3L3X7;P28072,PSB6_HUMAN,PSMB6,6,Proteasome subunit beta type-6,25878900,29292800,24941000,23835200,24765100,26088000,36858500,37924500,40151400,33676900,33814500,36062600
