Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Bock_1,Bock_2,Bock_3,Abk_1,Abk_2,Abk_3
P62861,E9PM49;E9PR30;P62861,RS30_HUMAN,FAU,"Isoform of P35544, 40S ribosomal protein S30",5,95775900,107175000,111092000,154681000,68763200,80372300
P23284,P23284,PPIB_HUMAN,PPIB,Peptidyl-prolyl cis-trans isomerase B,17,82445900,86895200,85268400,78327200,103255000,89410100
O00422-2,O00422-2;U3KQ12;O00422,SAP18-2_HUMAN,SAP18,"Isoform of O00422, Isoform 2 of Histone deacetylase complex subunit SAP18",15,54122500,67729400,53120300,86816300,120656000,86865700
Q8IUE6,A0A0U1RR32;A0A3B3IS11;H0YFX9;Q9BTM1-2;A0A0U1RRH7;P04908;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1,H2A2B_HUMAN,HIST2H2AB,Histone H2A type 2-B,3,30754700,37848000,60388100,63551200,59851000,86287400
Q07955,J3KSR8;J3KTL2;Q07955-2;Q07955-3;Q07955,SRSF1_HUMAN,SRSF1,Serine/arginine-rich splicing factor 1,22,48215300,67737900,48155500,59639000,57109000,39363400
Q9Y2W1,A0A3B3ITZ9;Q9Y2W1,TR150_HUMAN,THRAP3,Thyroid hormone receptor-associated protein 3,65,48971800,53286100,50622200,54649100,56974100,41508200
P58876;P62807;Q5QNW6;Q5QNW6-2;Q93079;Q99877;Q99879,Q5QNW6-2;U3KQK0;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880,H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F-2_HUMAN;H2B2F_HUMAN,HIST1H2BD;HIST1H2BH;HIST1H2BI;HIST1H2BM;HIST1H2BN;HIST2H2BF,Histone H2B type 1-D,7,37324300,41547400,51327700,52615000,50756700,64123200
P07910;P07910-2,B2R5W2;B4DY08;G3V2D6;G3V2Q1;G3V4C1;G3V4W0;G3V555;G3V575;G3V576;G3V5V7;P07910-2;P07910-3;P07910-4;P07910,HNRPC-2_HUMAN;HNRPC_HUMAN,HNRNPC,Heterogeneous nuclear ribonucleoproteins C1/C2,21,71840700,41630600,51374300,41406300,40526900,39695900
Q8TD19,G3V2Z5;Q8TD19,NEK9_HUMAN,NEK9,Serine/threonine-protein kinase Nek9,1,23135800,44503800,58324400,39457200,43453700,44447800
P35268,K7ELC4;K7EMH1;K7EP65;K7ERI7;K7EKS7;P35268,RL22_HUMAN,RPL22,60S ribosomal protein L22,3,23009200,28015100,33809000,33117300,49269200,20685100
Q13247,A0A0D9SEM4;A0A0D9SGD2;Q13247-2;Q13247-3;Q08170;Q13247,SRSF6_HUMAN,SRSF6,Serine/arginine-rich splicing factor 6,19,30042200,40955300,28774400,26385000,20220400,18157600
P62899,B7Z4C8;B7Z4E3;B8ZZK4;C9JU56;H7C2W9;P62899-2;P62899-3;P62899,RL31_HUMAN,RPL31,60S ribosomal protein L31,8,24892800,22933200,18875900,32311800,31513100,28869100
P16402,P16402,H13_HUMAN,HIST1H1D,Histone H1.3,12,18538000,13202500,28373200,32489500,33956800,31675400
P16401,P16401,H15_HUMAN,HIST1H1B,Histone H1.5,8,20835800,13550600,28060000,32601400,33527500,29042100
P68431;Q16695;Q71DI3,B4DEB1;K7EK07;K7EMV3;K7EP01;K7ES00;P68431;P84243;Q16695;Q5TEC6;Q6NXT2;Q71DI3,H31T_HUMAN;H31_HUMAN;H32_HUMAN,HIST1H3J;HIST2H3D;HIST3H3,Histone H3.1,5,16226500,23673100,23075300,29291400,22257800,38916500
P38159,H3BUY5;P38159-2;P38159;Q96E39,RBMX_HUMAN,RBMX,"RNA-binding motif protein, X chromosome",24,23567100,25735500,23473500,26882100,19942600,26965400
P09651;P09651-2,F8VTQ5;F8VZ49;F8W6I7;H0YH80;P09651-2;P09651-3;A0A2R8Y4L2;P09651,ROA1-2_HUMAN;ROA1_HUMAN,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,18,33320200,19400800,20459400,24521600,26534400,18294100
Q9NYF8;Q9NYF8-2,A0A1W2PQ43;E9PJA7;E9PK09;E9PK91;E9PKI6;E9PQN2;H0YF00;Q9NYF8-2;Q9NYF8-3;Q9NYF8-4;Q9NYF8,BCLF1-2_HUMAN;BCLF1_HUMAN,BCLAF1,Bcl-2-associated transcription factor 1,54,23920200,24814000,23331900,23085900,23302200,16754600
P21741,E9PLM6;E9PPJ5;P21741-2;P21741,MK_HUMAN,MDK,Midkine,12,14092300,17558800,24003400,31276500,33507000,12484800
P62851,P62851,RS25_HUMAN,RPS25,40S ribosomal protein S25,6,15922900,15017900,18638200,29077500,33266200,17585500
P22626,A0A087WUI2;P22626-2;P22626,ROA2_HUMAN,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,23,27038100,17442500,20384700,20279400,19358900,17610600
P62750,A8MUS3;H7BY10;K7EJV9;K7EMA7;K7ERT8;P62750,RL23A_HUMAN,RPL23A,60S ribosomal protein L23a,11,18171000,17309700,18099300,26370100,17078000,24550600
P62318;P62318-2,H3BT13;P62318-2;P62318,SMD3-2_HUMAN;SMD3_HUMAN,SNRPD3,Small nuclear ribonucleoprotein Sm D3,4,28599800,14427000,10817400,21749500,18103100,23740400
P84103;P84103-2,A0A087X2D0;P84103-2;P84103,SRSF3-2_HUMAN;SRSF3_HUMAN,SRSF3,Serine/arginine-rich splicing factor 3,11,21352900,27146400,17505500,22161600,16337600,11548600
Q16629;Q16629-4,H7BZZ6;Q16629-4;Q16629,SRSF7-4_HUMAN;SRSF7_HUMAN,SRSF7,Serine/arginine-rich splicing factor 7,14,21605600,28968700,19556600,16025700,12977400,14117000
P06748,E5RI98;P06748-2;P06748-3;P06748,NPM_HUMAN,NPM1,Nucleophosmin,14,15196600,10355600,17813100,19491800,19534000,27075500
Q15287;Q15287-2;Q15287-3,H3BMM9;H3BPG5;H3BTC0;H3BV80;Q15287-2;Q15287-3;Q15287,RNPS1-2_HUMAN;RNPS1-3_HUMAN;RNPS1_HUMAN,RNPS1,RNA-binding protein with serine-rich domain 1,5,21664100,22089700,21924900,17608600,9651910,16205100
P62829,C9JD32;J3KT29;J3KTJ3;J3QQT9;P62829,RL23_HUMAN,RPL23,60S ribosomal protein L23,11,16706700,11266700,15680600,22961500,23973300,14996900
P04406,E7EUT5;P04406-2;P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,15,18486100,16561900,13319900,16839200,19130200,18408900
P81605,P81605-2;P81605,DCD_HUMAN,DCD,Dermcidin,5,14220900,31368800,24793700,9429790,6347940,11308700
P62854,P62854;Q5JNZ5,RS26_HUMAN,RPS26,40S ribosomal protein S26,4,20651000,15673500,15619200,19444000,12676100,12215900
P42766,F2Z388;P42766,RL35_HUMAN,RPL35,60S ribosomal protein L35,4,13451400,12927900,14631900,23527200,11377500,16525500
P62269,J3JS69;P62269,RS18_HUMAN,RPS18,40S ribosomal protein S18,14,15289400,15229700,12947700,18633700,10537400,16511600
P68104;Q5VTE0,A0A087WV01;A0A087WVQ9;A6PW80;P68104-2;Q5JR01;P68104;Q5VTE0,EF1A1_HUMAN;EF1A3_HUMAN,EEF1A1;EEF1A1P5,Elongation factor 1-alpha 1,15,12367200,10162200,11315700,16699100,18879200,18306100
P60709;P63261,A0A2R8Y793;A0A2R8YGF8;E7EVS6;G5E9R0;I3L1U9;I3L3I0;I3L3R2;I3L4N8;J3KT65;K7EM38;P60709;P63261,ACTB_HUMAN;ACTG_HUMAN,ACTB;ACTG1,"Actin, cytoplasmic 1",20,13229200,13098100,13241600,16310500,13538600,16955300
P14678;P14678-2;P14678-3,P14678-2;P14678-3;P14678,RSMB-2_HUMAN;RSMB-3_HUMAN;RSMB_HUMAN,SNRPB,Small nuclear ribonucleoprotein-associated proteins B and B',8,13997700,10101600,10458700,17232000,15484100,18783900
P84090,G3V279;P84090,ERH_HUMAN,ERH,Enhancer of rudimentary homolog,7,18658800,18414100,10658400,11475500,6688030,19034600
P62995;P62995-3,P62995-3;P62995,TRA2B-3_HUMAN;TRA2B_HUMAN,TRA2B,Transformer-2 protein homolog beta,13,15464200,18404400,15202400,13601500,9901090,11193500
P61513,C9J4Z3;E9PEL3;G5E9R3;M0R0A1;M0R2L6;Q6P4E4;A6NKH3;P61513,RL37A_HUMAN,RPL37A,60S ribosomal protein L37a,7,17439700,9899400,9079410,17854200,18611000,10277200
P62424,Q5T8U3;P62424,RL7A_HUMAN,RPL7A,60S ribosomal protein L7a,13,13943600,8561930,14787700,14687500,9063580,20543700
P63173,J3KT73;J3QL01;P63173,RL38_HUMAN,RPL38,60S ribosomal protein L38,6,19575800,9118730,8108340,15288100,11302500,17947700
Q9H307,Q9H307,PININ_HUMAN,PNN,Pinin,35,13598500,15855200,14100700,12461400,11515200,11957500
Q9UNZ5,Q9UNZ5,L10K_HUMAN,C19orf53,Leydig cell tumor 10 kDa protein homolog,7,16480400,6554810,6996290,16332200,12325500,17528900
Q5T749,Q5T749,KPRP_HUMAN,KPRP,Keratinocyte proline-rich protein,27,18046500,18799800,18199100,2904100,5845410,12408000
P38919,I3L3H2;P38919,IF4A3_HUMAN,EIF4A3,Eukaryotic initiation factor 4A-III,23,14683200,16716400,8178830,13508300,10175500,12037800
Q86YZ3,Q86YZ3,HORN_HUMAN,HRNR,Hornerin,22,6586950,16039100,14770100,6178650,17012000,12599300
P67809,A0A0D9SEI8;H0Y449;P16989-2;P16989-3;P16989;P67809;Q9Y2T7,YBOX1_HUMAN,YBX1,Nuclease-sensitive element-binding protein 1,15,9024800,9461850,10036000,15167100,13134300,15288700
P61326;Q96A72,F5H6N1;P61326-2;P61326;Q96A72,MGN2_HUMAN;MGN_HUMAN,MAGOH;MAGOHB,Protein mago nashi homolog,9,10977800,14891000,6228520,14468500,13117800,11618100
Q9BPX5,Q9BPX5,ARP5L_HUMAN,ARPC5L,Actin-related protein 2/3 complex subunit 5-like protein,3,8888690,9400870,11514100,9797160,13888800,13515300
P30050,P30050,RL12_HUMAN,RPL12,60S ribosomal protein L12,9,4956490,4801370,3794270,15698700,18670100,17484600
P62805,P62805,H4_HUMAN,HIST4H4,Histone H4,9,9415480,11346900,8351240,10975600,6841180,15956400
Q9UMS4,F5GY56;Q9UMS4,PRP19_HUMAN,PRPF19,Pre-mRNA-processing factor 19,14,11694600,12122300,10793600,9901940,8795650,9220160
P62316,K7ERG4;P62316,SMD2_HUMAN,SNRPD2,Small nuclear ribonucleoprotein Sm D2,8,9601450,5668290,6288790,13597600,14521600,12612000
P60866;P60866-2,E5RJX2;P60866-2;P60866,RS20-2_HUMAN;RS20_HUMAN,RPS20,40S ribosomal protein S20,5,12805500,7941810,4927290,13248300,6470160,16140700
P23396,E9PL09;F2Z2S8;H0YCJ7;H0YF32;P23396-2;P23396,RS3_HUMAN,RPS3,40S ribosomal protein S3,18,8520770,6517230,6597690,13645300,14476500,11732400
P38646,A0A3B3ITI4;D6RJI2;P38646,GRP75_HUMAN,HSPA9,"Stress-70 protein, mitochondrial",36,9519610,7178580,7813130,11903100,13282200,11272300
P62277,P62277,RS13_HUMAN,RPS13,40S ribosomal protein S13,11,9769050,10810200,8338720,13105200,6862420,12003900
P62263,A0A2R8Y811;E5RH77;P62263,RS14_HUMAN,RPS14,40S ribosomal protein S14,6,7507430,5652760,9209480,12501400,16415200,9088400
P39019,M0QXK4;M0QYF7;M0R140;M0R2L9;P39019,RS19_HUMAN,RPS19,40S ribosomal protein S19,15,8803650,4395020,5890970,12985000,13613100,12165300
Q99729-3,D6R9P3;D6RBZ0;D6RD18;Q99729-2;Q99729-3;Q99729-4;Q99729,ROAA-3_HUMAN,HNRNPAB,"Isoform of Q99729, Isoform 3 of Heterogeneous nuclear ribonucleoprotein A/B",11,10378800,6761000,9931930,9382250,12108000,8078510
P61254,E5RIT6;J3KS10;J3QQV1;J3QRC4;J3QRI7;J3QQQ9;P61254;Q9UNX3,RL26_HUMAN,RPL26,60S ribosomal protein L26,10,9120750,7626360,6876100,12067000,8547620,12200600
Q99ZW2,Q99ZW2,CAS9_STRP1,cas9,CRISPR-associated endonuclease Cas9/Csn1,86,7465460,7314810,7721540,12107700,7670140,11841200
Q9Y5S9,A0A0J9YW13;Q9Y5S9-2;Q9Y5S9,RBM8A_HUMAN,RBM8A,RNA-binding protein 8A,7,9420370,11125100,4578690,8984900,11551900,6515120
P11142,E9PK54;E9PKE3;E9PLF4;E9PN25;E9PN89;E9PPY6;E9PQK7;E9PQQ4;P11142-2;P11142;P54652,HSP7C_HUMAN,HSPA8,Heat shock cognate 71 kDa protein,37,9314720,7154560,7965160,9274000,8955230,9173100
Q9UKV3-5,E7EQT4;G3V3B0;Q9UKV3-2;Q9UKV3-3;Q9UKV3-5;S4R3H4;Q9UKV3,ACINU-5_HUMAN,ACIN1,"Isoform of Q9UKV3, Isoform 4 of Apoptotic chromatin condensation inducer in the nucleus",48,8996270,10462400,9212080,8396270,7704720,6444000
Q8NHP8,Q8NHP8-2;Q8NHP8,PLBL2_HUMAN,PLBD2,Putative phospholipase B-like 2,14,9098070,7150920,7678280,9444210,9103810,8162080
