Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Prime1_1,Prime1_2,Prime1_3,Prime2_1,Prime2_2,Prime2_3,Naive1_1,Naive1_2,Naive1_3,Naive2_1,Naive2_2,Naive2_3
A0A075B6S2;A0A0A0MRZ7;A2NJV5,A0A075B6R9;A0A075B6S2;A0A0A0MRZ7;A0A0C4DH68;A2NJV5,KV229_HUMAN;KVD26_HUMAN;KVD29_HUMAN,IGKV2-29;IGKV2D-26;IGKV2D-29,Immunoglobulin kappa variable 2D-29,2,2282870,2289950,2159130,4643040,4498660,4693430,5032940,4684830,5227720,5689790,4593580,5947210
A0A087WUL4;A0A087WX23;A0A087WZG9;B4DSP0,A0A087WUL4;A0A087WX23;A0A087WZG9;B4DSP0,A0A087WUL4_HUMAN;A0A087WX23_HUMAN;A0A087WZG9_HUMAN;B4DSP0_HUMAN,PEG10,"Isoform of Q86TG7, Retrotransposon-derived protein PEG10",1,1050600,956583,955121,1010620,951246,519060,485425,556358,516979,481068,392794,407795
A0A087WUT0;A0A0A0MQW0;A0A0A0MR39;A0A0C4DGV1;H0YN19,A0A087WUT0;A0A0A0MQW0;A0A0A0MR39;A0A0C4DGV1;H0YN19,A0A087WUT0_HUMAN;A0A0A0MQW0_HUMAN;A0A0A0MR39_HUMAN;A0A0C4DGV1_HUMAN;H0YN19_HUMAN,MYEF2,"Isoform of Q9P2K5, Myelin expression factor 2",1,1352640,1475520,1478400,,1350090,1296930,2075260,1375230,1601660,1713720,1826400,1822110
A0A087WVM4;B7ZM99;H0Y327,A0A087WVM4;B7ZM99;H0Y327,A0A087WVM4_HUMAN;B7ZM99_HUMAN;H0Y327_HUMAN,MTHFD1L,"Isoform of Q6UB35, Monofunctional C1-tetrahydrofolate synthase, mitochondrial",2,3702880,3594700,3163310,4466130,4290430,4666140,4607740,4656290,4219150,4257870,4268640,4205300
A0A087WY00;F8W6H6,A0A087WY00;F8W6H6,A0A087WY00_HUMAN;F8W6H6_HUMAN,MYO5A,"Isoform of Q9Y4I1, Unconventional myosin-Va",1,1035240,1240770,1244280,,,1879290,408693,,558934,401725,427341,494145
A0A087WZE6,A0A087WZE6,A0A087WZE6_HUMAN,GCNT7,"Isoform of Q6ZNI0, Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7",1,2412180,1943830,1961140,2214270,2546010,,2327070,,,3311670,2980980,3145170
A0A096LP25,A0A096LP25;Q6ZSR9,A0A096LP25_HUMAN,AAK1,"Isoform of Q2M2I8, AP2-associated protein kinase 1 (Fragment)",2,144085,298538,170399,136343,108358,121646,168722,230475,218978,,,272437
A0A0A0MQS2;F5H0Q6;K7EM61,A0A0A0MQS2;F5H0Q6;K7EM61,A0A0A0MQS2_HUMAN;F5H0Q6_HUMAN;K7EM61_HUMAN,CLASRP,"Isoform of Q8N2M8, CLK4-associating serine/arginine-rich protein",1,90090.3,,,276522,308307,369279,126838,271290,246369,386453,445469,380368
A0A0A0MR33;A0A0C4DFM0;G3V267;G3V4T6;G3V5T0,A0A0A0MR33;A0A0C4DFM0;G3V267;G3V4T6;G3V5T0,A0A0A0MR33_HUMAN;A0A0C4DFM0_HUMAN;G3V267_HUMAN;G3V4T6_HUMAN;G3V5T0_HUMAN,GSTZ1,"Isoform of O43708, Maleylacetoacetate isomerase",1,942739,1028930,1223020,1106010,1225080,1024350,1163290,939400,957678,808125,870705,852887
A0A0A0MR51,A0A0A0MR51;H0YB97;H7C2V0,A0A0A0MR51_HUMAN,FADS1,"Isoform of O60427, Acyl-CoA (8-3)-desaturase",1,216570,101290,174790,,,,,80126.1,48148.6,34315.7,,50276.1
A0A0A6YYJ5;A0A286YES6,A0A0A6YYJ5;A0A286YES6;O94854-2;O94854,A0A0A6YYJ5_HUMAN;A0A286YES6_HUMAN,MACF1,"Isoform of Q9UPN3, Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (Fragment)",1,,169254,,,,,,,,,,
A0A0B4J2A0,A0A0B4J2A0,A0A0B4J2A0_HUMAN,,Uncharacterized protein,1,,,,,462024,420344,,480210,468556,295776,451403,300999
A0A0B4J2B5;S4R460,A0A0B4J2B5;S4R460,A0A0B4J2B5_HUMAN;S4R460_HUMAN,IGHV3OR16-9,"Isoform of S4R460, Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment)",1,,262805,,201078,257242,272979,,233079,,,438661,627402
A0A0B4J2D5;P0DPI2,A0A096LNH5;A0A0B4J2D5-2;A0A0B4J2H4;H7C1F6;H7C2G3;P0DPI2-2;A0A096LPI6;A0A0B4J2D5;P0DPI2,GAL3A_HUMAN;GAL3B_HUMAN,GATD3A;GATD3B,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",13,5893060,5732560,4865740,6040420,5992290,7007110,7900100,7418800,7635450,6868260,6989030,7365330
A0A0C4DG89,A0A0C4DG89,A0A0C4DG89_HUMAN,DDX46,"Isoform of Q7L014, Probable ATP-dependent RNA helicase DDX46",1,381384,557206,230766,297445,110167,210034,209648,,262125,213751,,268181
A0A0C4DGB9,A0A0C4DGB9,A0A0C4DGB9_HUMAN,PPA2,"Isoform of Q9H2U2, Inorganic pyrophosphatase 2, mitochondrial",2,171471,206355,219526,235236,225640,230483,273381,223910,137385,155327,175560,116018
A0A0C4DH25;P01619,A0A0C4DH25;P01619,KV320_HUMAN;KVD20_HUMAN,IGKV3-20;IGKV3D-20,Immunoglobulin kappa variable 3D-20,1,,,,225140,,,,275394,188745,,318628,421463
A0A0C4DH55;P01624,A0A075B6H7;A0A0C4DH55;A0A0C4DH90;P01624,KV315_HUMAN;KVD07_HUMAN,IGKV3-15;IGKV3D-7,Immunoglobulin kappa variable 3D-7,1,,777303,763304,1068230,816154,1094300,1538520,800144,1177320,1049590,1183950,1267690
A0A0J9YWL0;A0A494C1M5,A0A0J9YWL0;A0A494C1M5,A0A0J9YWL0_HUMAN;A0A494C1M5_HUMAN,CRYBG1,"Isoform of Q9Y4K1, Beta/gamma crystallin domain-containing protein 1",3,399377,428503,492258,418755,400142,468436,475909,567272,489798,408979,565675,429552
A0A0J9YXF2,A0A0J9YXF2,A0A0J9YXF2_HUMAN,PON2,"Isoform of Q15165, Paraoxonase 2, isoform CRA_a",1,491652,534928,,616488,,677921,694505,498134,598177,565717,596332,534798
A0A0J9YXJ0;E9PC62,A0A0J9YXJ0;E9PC62,A0A0J9YXJ0_HUMAN;E9PC62_HUMAN,CELF2,"Isoform of O95319, CUGBP Elav-like family member 2",1,,,,785733,692187,749642,235963,492162,543847,331530,,327658
A0A0J9YY79,A0A0J9YY79,A0A0J9YY79_HUMAN,INPP5F,"Isoform of Q9Y2H2, Phosphatidylinositide phosphatase SAC2 (Fragment)",2,646823,551443,549254,542279,474905,531561,794450,821919,850299,818109,740194,867270
A0A0U1RQK9,A0A0U1RQK9;H0YKL3;H0YMG7;O94788-2;O94788-3;O94788-4;Q9UED3;O94788,A0A0U1RQK9_HUMAN,ALDH1B1,"Isoform of P30837, Aldehyde dehydrogenase X, mitochondrial (Fragment)",1,2367750,2109490,2185170,2138970,2378240,2291470,2890260,2523620,2305630,2419680,2478770,2457720
A0A0U1RQL9;A0A0U1RQN3;A0A0U1RQS5;A0A0U1RQV1;B3KNS4,A0A0U1RQL9;A0A0U1RQN3;A0A0U1RQS5;A0A0U1RQV1;B3KNS4,A0A0U1RQL9_HUMAN;A0A0U1RQN3_HUMAN;A0A0U1RQS5_HUMAN;A0A0U1RQV1_HUMAN;B3KNS4_HUMAN,ERVK3-1,"Isoform of B3KNS4, Endogenous retrovirus group K3 member 1 (Fragment)",1,309131,443170,352521,499880,400792,337331,380863,332239,386894,312446,296398,316904
A0A0U1RQS6,A0A0U1RQS6,TM275_HUMAN,TMEM275,Transmembrane protein 275,1,,,,,,,,,,,,982677
